2.848	 9.623
8.962	 11.223
9.816	 15.076
10.894	 19.979
18.743	 21.745
22.666	 28.582
22.647	 31.515
22.723	 32.989
26.037	 33.378
34.941	 41.622
39.812	 45.521
36.930	 49.180
45.742	 50.463
51.089	 59.288
57.959	 62.314
54.893	 63.135
60.268	 64.058
61.830	 64.736
63.226	 67.581
63.210	 68.593
68.790	 76.328
72.107	 79.781
80.372	 87.109
83.074	 89.096
83.938	 89.293
87.355	 91.073
85.795	 91.115
82.851	 91.542
89.417	 93.793
91.236	 93.879
92.348	 96.231
91.678	 97.245
96.067	 98.942
96.145	 99.008
92.348	 102.885
92.511	 103.267
102.821	 105.895
99.536	 106.818
106.349	 108.663
108.431	 108.946
112.151	 119.702
112.445	 119.702
118.915	 120.518
123.022	 129.299
121.048	 129.694
124.869	 130.721
126.962	 131.429
130.089	 133.669
131.454	 134.646
126.055	 134.776
138.432	 147.438
142.592	 149.250
145.262	 149.310
152.393	 161.990
155.174	 163.148
157.426	 166.758
159.759	 167.539
163.549	 168.150
160.075	 168.439
163.716	 168.859
164.125	 170.097
165.622	 170.742
168.151	 172.733
171.520	 174.394
164.684	 176.034
174.990	 180.436
176.502	 181.821
179.720	 183.972
177.173	 184.409
176.997	 184.744
178.749	 185.088
181.596	 185.955
180.026	 187.687
181.965	 187.775
187.240	 190.271
187.021	 190.869
187.480	 191.165
188.175	 193.169
191.340	 195.691
191.807	 197.454
192.007	 200.038
195.998	 201.217
192.301	 203.296
202.591	 204.540
203.940	 205.896
196.741	 205.931
208.852	 215.046
225.519	 231.718
222.231	 233.216
231.137	 233.582
232.240	 239.042
236.609	 241.043
242.190	 248.681
247.506	 251.194
244.767	 251.483
253.419	 260.147
256.711	 260.918
260.825	 263.830
254.560	 264.552
259.872	 266.094
261.538	 269.444
266.462	 270.145
261.295	 271.576
275.418	 281.948
278.496	 282.830
274.002	 284.121
284.769	 292.953
291.025	 294.068
291.568	 295.817
286.489	 297.142
292.658	 298.907
296.310	 301.316
298.172	 302.439
298.867	 303.494
305.200	 312.235
308.599	 314.961
311.727	 317.159
319.345	 325.676
319.781	 327.213
320.462	 329.306
325.972	 329.411
321.852	 329.529
328.591	 329.878
323.974	 330.368
327.888	 332.032
329.682	 333.453
323.450	 334.747
334.019	 340.380
341.176	 347.366
339.859	 348.363
341.876	 349.079
345.999	 352.329
343.088	 353.144
356.837	 362.782
359.041	 365.351
357.826	 365.683
356.646	 366.424
359.422	 368.641
366.703	 370.616
379.034	 385.091
377.491	 385.647
380.292	 389.517
385.909	 393.337
391.252	 395.367
389.144	 395.758
387.791	 396.047
388.822	 397.678
395.947	 397.887
391.321	 400.335
399.815	 403.834
400.691	 405.331
403.075	 409.105
407.091	 411.168
409.232	 413.743
424.881	 431.861
420.983	 431.999
427.752	 434.029
437.300	 444.629
441.988	 445.784
442.403	 446.829
438.813	 449.715
448.544	 453.266
447.161	 453.747
450.029	 456.613
456.881	 462.766
457.212	 464.788
461.649	 465.118
465.588	 474.445
470.725	 476.100
474.737	 479.510
470.798	 482.122
472.145	 482.538
477.252	 485.269
479.304	 485.784
483.258	 488.875
482.955	 489.140
486.810	 492.190
487.897	 492.438
489.628	 494.385
490.596	 494.832
494.852	 497.552
493.527	 498.464
496.263	 502.553
499.240	 504.671
503.309	 507.804
503.968	 513.246
507.425	 514.369
509.652	 514.791
503.971	 515.914
522.260	 529.481
526.372	 530.306
527.516	 531.073
532.074	 539.602
533.672	 544.224
547.181	 556.327
547.911	 556.444
555.421	 557.279
551.903	 557.528
